"dates","titles","end_price","start_price","high_price","low_price","amount"
"2014-03-19",NA,125000,128000,128500,124500,747604
"2014-03-20",NA,117500,123500,123500,117000,992678
"2014-03-21",NA,119000,118000,119500,117500,510712
"2014-03-24",NA,120000,119000,121500,119000,342471
"2014-03-25",NA,121000,119000,121500,119000,274155
"2014-03-26",NA,121500,122500,122500,120000,233368
"2014-03-27",NA,121500,121000,121500,120000,146516
"2014-03-28",NA,122000,122000,123000,121000,213534
"2014-03-31",NA,122000,122000,124500,121500,307372
"2014-04-01",NA,122500,122000,123000,121000,157962
"2014-04-02",NA,120500,122000,123000,120000,444741
"2014-04-03",NA,120000,120000,121000,119000,272094
"2014-04-04",NA,120000,119500,121500,119500,281286
"2014-04-07","SK이노베이션, 미국 땅에서 직접 석유 캔다 ",120500,119000,121000,119000,173619
"2014-04-08",NA,123000,120500,124000,120000,409960
"2014-04-09",NA,127000,124000,128000,123500,679936
"2014-04-10",NA,127500,127500,130000,126000,493274
"2014-04-11",NA,128000,126000,129000,125500,319228
"2014-04-14","기아차,‘쏘울 EV’1호차 SK이노베이션에 전달",127500,127500,130000,126000,211392
"2014-04-15",NA,126500,127500,128500,126000,198787
"2014-04-16",NA,125500,126000,126500,125000,241814
"2014-04-17",NA,125500,126000,127000,125500,114959
"2014-04-18",NA,127500,126500,129000,126000,172615
"2014-04-21",NA,127000,127500,128000,126000,149624
"2014-04-22",NA,127000,127500,128500,125000,259373
"2014-04-23",NA,125000,127500,128000,124000,264762
"2014-04-24",NA,123500,124500,125000,122000,284748
"2014-04-25","SK이노베이션, 2014년 1분기 매출 16조 8,899억원, 영업이익 2,262억원",120500,123000,123000,120000,379938
"2014-04-28",NA,120000,119000,121000,119000,199811
"2014-04-29",NA,119500,119500,121000,119000,168874
"2014-04-30",NA,118000,119000,119500,117000,336061
"2014-05-02",NA,117500,117000,118000,116500,169952
"2014-05-07",NA,113500,117000,117500,113000,353051
"2014-05-08",NA,113500,113500,114500,112000,367834
"2014-05-09",NA,111000,113000,114000,109500,604286
"2014-05-12",NA,109500,111000,111000,108500,479732
"2014-05-13",NA,112500,111000,114000,110000,571211
"2014-05-14",NA,112500,113500,113500,111000,401751
"2014-05-15",NA,112000,112500,113000,111000,390231
"2014-05-16",NA,111500,111500,112000,110500,241147
"2014-05-19",NA,112500,112500,114500,111500,396549
"2014-05-20",NA,112000,113000,113000,110500,290510
"2014-05-21",NA,111000,110500,111500,110000,277814
"2014-05-22",NA,114500,112000,115500,111500,611451
"2014-05-23",NA,113000,115000,115000,112000,323355
"2014-05-26",NA,112500,113000,114000,112000,201804
"2014-05-27","SK종합화학, 글로벌 메이저 화학기업 사빅(SABIC)과 손잡고 세계 시장공략",112000,113000,113500,111000,259494
"2014-05-28",NA,112000,111500,112500,111000,190226
"2014-05-29",NA,109000,111500,112000,108000,721143
"2014-05-30",NA,106500,109000,110000,106000,602711
"2014-06-02",NA,107500,106000,107500,106000,243164
"2014-06-03",NA,103000,107000,107500,101500,747907
